brand,semanticVar,addrCode,f0_raw8,f1_raw8,f2_raw8,f3,f4
simens,MODE,,,,,,
simens,FEED,,,,,,
simens,PRGN,,,,,,
simens,PRGC,,,,,,
simens,ExePrg,,,,,,
simens,PowerONTime,,,,,,
simens,OPTime,,,,,,
simens,X,6496,1850f400e0140000,,,,
simens,Y,,,,,,
simens,Z,,,,,,
simens,A,,,,,,
simens,ncType,,,,,,
simens,deviceType,,,,,,
simens,progNum,,,,,,
simens,progName,,,,,,
simens,STS,,,,,,
simens,modeStd,,,,,,
simens,statusStd,,,,,,
simens,modeOrg,,,,,,
simens,statusOrg,,,,,,
simens,emg,,,,,,
simens,alm,,,,,,
simens,alarm_msg,,,,,,
simens,alarm_no,,,,,,
simens,alarm_no,,,,,,
simens,alarm_msg,,,,,,
simens,PTR:012ad360,12,0600000000000000,1c93a40000000000,0c00000000000000,,
simens,PTR:012ad370,18,0800000000000000,,,,
simens,STS,,,,,,
simens,modeStd,,,,,,
simens,statusStd,,,,,,
simens,modeOrg,,,,,,
simens,statusOrg,,,,,,
simens,almCount,,,,,,
simens,alarms,,,,,,
simens,almCount,,,,,,
simens,alarms,,,,,,
simens,almCount,,,,,,
simens,alarms,,,,,,
simens,type,,,,,,
simens,code,,,,,,
simens,modeOrg,,,,,,
simens,modeStd,,,,,,
simens,statusOrg,,,,,,
simens,statusStd,,,,,,
simens,STS,,,,,,
simens,:,,,,,,
simens,None,145916,6037020089390200,,,,
simens,Basic128Rsa15,,,,,,
simens,Basic256,,,,,,
simens,Basic256Sha256,,,,,,
simens,Aes128Sha256RsaOaep,,,,,,
simens,Aes256Sha256RsaPss,,,,,,
simens,http://opcfoundation.org/UA/SecurityPolicy#None,,,,,,
simens,http://opcfoundation.org/UA/SecurityPolicy#Basic128Rsa15,,,,,,
simens,http://opcfoundation.org/UA/SecurityPolicy#Basic256,,,,,,
simens,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,,,,,,
simens,http://opcfoundation.org/UA/SecurityPolicy#Aes128_Sha256_RsaOaep,,,,,,
simens,http://opcfoundation.org/UA/SecurityPolicy#Aes256_Sha256_RsaPss,,,,,,
simens,D100,,,,,0x17,
simens,M100,,,,,,
simens,M,,,,,,
simens,R,,,,,,
simens,W,,,,,,
simens,FIPS 140-3 self-test passed: ,,,,,,
